"","unique_id","yi","vi","ch4_n","p_num","plant_species","salinity","marsh","season","tide","lat","ch4_method_simple","climate_region","month","sampling_year"
"28",28,4.17194123914911,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2020
"29",29,3.84022972810874,6,6,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2020
"30",30,4.59823257489546,6,6,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2020
"31",31,4.59001056489859,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2021
"32",32,5.94405160752084,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2021
"33",33,3.58851966991101,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2021
"34",34,3.7473762968828,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2021
"35",35,5.53368122251786,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2021
"36",36,4.84549429255458,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2021
"37",37,4.57727419464889,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2021
"38",38,4.60258679056738,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","May",2021
"39",39,4.33150637992856,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2021
"40",40,5.00799605626888,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2021
"41",41,5.60954477690393,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2021
"42",42,4.52464220366516,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2007
"43",43,4.61500684815939,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2007
"44",44,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2007
"45",45,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","February",2007
"46",46,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2007
"47",47,4.97409764168713,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2007
"48",48,5.14047484388289,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2007
"49",49,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2007
"50",50,5.06468661559736,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","May",2007
"51",51,3.55348383180558,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2007
"52",52,4.24601644622301,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2007
"53",53,5.30808048889815,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2007
"54",54,3.95849383150047,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2008
"55",55,6.68349065625479,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2008
"56",56,4.84549429255458,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2008
"57",57,3.26643796099033,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","February",2008
"58",58,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2008
"59",59,7.18648439259412,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2008
"60",60,6.03459589812411,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2008
"61",61,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2008
"62",62,4.36375642719923,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","May",2008
"63",63,5.00799605626888,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2008
"64",64,3.68682332813572,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2008
"65",65,5.55801258162827,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2008
"66",66,3.44036338292407,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2009
"67",67,3.88444404307584,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2009
"68",68,3.55348383180558,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2009
"69",69,3.44036338292407,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","February",2009
"70",70,3.44036338292407,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2009
"71",71,5.74193084564276,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2009
"72",72,4.19098052098846,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2009
"73",73,3.55348383180558,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2009
"74",74,4.84549429255458,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","May",2009
"75",75,5.59111158050313,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2009
"76",76,5.08803215475449,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2009
"77",77,5.23776769058925,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2009
"78",78,6.60396810476729,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2013
"79",79,6.42097145294212,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2013
"80",80,7.11005160908178,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2013
"81",81,4.91186166516091,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","February",2013
"82",82,7.04808962191146,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2013
"83",83,6.80248600695008,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2013
"84",84,6.66618107338243,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2013
"85",85,6.12309777047147,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2013
"86",86,7.17605282565149,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","May",2013
"87",87,5.82258721615554,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2013
"88",88,5.63657274480499,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2013
"89",89,5.87295673475584,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2013
"90",90,3.88444404307584,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2014
"91",91,7.55217487772209,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2014
"92",92,3.26643796099033,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2014
"93",93,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","February",2014
"94",94,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2014
"95",95,6.19681468622767,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2014
"96",96,6.24148677438744,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2014
"97",97,3.11281140553122,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2014
"98",98,5.60496823175786,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","May",2014
"99",99,4.52464220366516,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2014
"100",100,6.76293292882315,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2014
"101",101,7.00830543368883,12,12,"105","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2014
"102",102,-0.0709993348069252,16,16,"106","Distichlis Spicata","euhaline","Point Reyes National Seashore ","annual","microtidal","38.08","discrete","mediterranean","December, April, May, June",2012
"103",103,0.101428001403956,16,16,"106","Distichlis Spicata","euhaline","Point Reyes National Seashore ","annual","microtidal","38.08","discrete","mediterranean","December, April, May, June",2012
"104",104,0.63675975091569,12,12,"106","Spartina alterniflora","euhaline","Point Reyes National Seashore ","annual","microtidal","38.08","discrete","mediterranean","December, April, May, June",2012
"105",105,3.11281140553122,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","April",2011
"106",106,0,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","April",2011
"107",107,2.02963160879278,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","April",2011
"108",108,6.60902285587763,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","August",2011
"109",109,7.16935744837295,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","August",2011
"110",110,3.11281140553122,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","August",2011
"111",111,6.23905665722561,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","December",2011
"112",112,4.56437357033649,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","December",2011
"113",113,2.70980504576868,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","December",2011
"114",114,8.14199534978854,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","July",2011
"115",115,6.93826526942959,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","July",2011
"116",116,3.62237118750028,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","July",2011
"117",117,5.52874310218627,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","June",2011
"118",118,3.39962867403759,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","June",2011
"119",119,-3.11281140553122,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","June",2011
"120",120,3.62237118750028,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","May",2011
"121",121,-2.02963160879278,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","May",2011
"122",122,2.70980504576868,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","May",2011
"123",123,5.0488145480416,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","November",2011
"124",124,4.89334466949434,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","November",2011
"125",125,3.11281140553122,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","November",2011
"126",126,5.46750152846061,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","Ocotober",2011
"127",127,5.46750152846061,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","Ocotober",2011
"128",128,2.02963160879278,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","Ocotober",2011
"129",129,6.30723768329854,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","September",2011
"130",130,7.13419761959533,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","September",2011
"131",131,3.11281140553122,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","September",2011
"132",132,5.81145556945125,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","February",2012
"133",133,0,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","February",2012
"134",134,3.11281140553122,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","February",2012
"135",135,6.84850213524359,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","March",2012
"136",136,2.02963160879278,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","March",2012
"137",137,2.70980504576868,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","March",2012
"138",138,3.47950666823078,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","April",2011
"139",139,3.05589206748961,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","April",2011
"140",140,-2.42553491805623,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","April",2011
"141",141,6.70966604931072,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","August",2011
"142",142,7.77793270989794,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","August",2011
"143",143,3.05589206748961,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","August",2011
"144",144,5.89379049946617,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","December",2011
"145",145,4.56437357033649,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","December",2011
"146",146,-3.47950666823078,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","winter","mesotidal","33.600157","discrete","subtropical/warm temperate","December",2011
"147",147,8.10277464343146,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","July",2011
"148",148,6.31628745848186,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","July",2011
"149",149,3.7473762968828,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","July",2011
"150",150,5.86237479714133,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","June",2011
"151",151,-2.42553491805623,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","June",2011
"152",152,-3.47950666823078,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","summer","mesotidal","33.600157","discrete","subtropical/warm temperate","June",2011
"153",153,3.05589206748961,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","May",2011
"154",154,0,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","May",2011
"155",155,0,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","spring","mesotidal","33.600157","discrete","subtropical/warm temperate","May",2011
"156",156,4.56437357033649,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","November",2011
"157",157,4.93004205634872,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","November",2011
"158",158,-3.47950666823078,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","November",2011
"159",159,5.40786551818391,3,3,"107","Phragmites australis","oligohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","Ocotober",2011
"160",160,5.62315007318508,3,3,"107","Spartina alterniflora","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","Ocotober",2011
"161",161,-2.42553491805623,3,3,"107","Suaeda salsa","mesohaline","Yancheng National Natural Reserve","fall","mesotidal","33.600157","discrete","subtropical/warm temperate","Ocotober",2011
