,num,p_num,unique_id,author,publish_year,title,m_num,lat,long,climate_region,country,state_province,estuary,marsh,specific_site,time_frame,repeat.,sampling_year,sampling_year_full,specific_date_condition,specific_time,month,season,plant_species,plant_comment,section,tide,salinity,salinity_loc,ch4_n,ch4_flux,ch4_var,ch4_var_type,ch4_units,ch4_chamber,ch4_loc,soil_temp,soil_source,soil_temp_var,pw_salinity,pw_salinity_var,pw_conductivity,pw_conductivity_var,cond_convert,salinity_conductivity,enviro_source,ch4_method,ch4_method_simple,method,brand,brand2,model,group_key
11,15,4,799,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,5,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,summer,NA,2012,2012-2013,NA,NA,"June, July, August",summer,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",18,-11.843171,76.18174322,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_June, July, August_Spartina alterniflora_mesohaline_dark_NA_NA"
12,16,4,807,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,6,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,autumn,NA,2012,2012-2013,NA,NA,"September, October",fall,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",6,31.16624,35.40549939,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_September, October_Spartina alterniflora_mesohaline_dark_NA_NA"
13,17,4,796,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,7,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,winter,NA,2012,2012-2013,NA,NA,"December, January, Febuary",winter,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",9,4.363274,60.81678151,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_December, January, Febuary_Spartina alterniflora_mesohaline_dark_NA_NA"
14,18,4,803,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,8,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,spring,NA,2012,2012-2013,NA,NA,"March, April, May",spring,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",15,-7.479898,72.04502338,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_March, April, May_Spartina alterniflora_mesohaline_dark_NA_NA"
15,19,4,800,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,9,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,summer,NA,2012,2012-2013,NA,NA,"June, July, August",summer,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",18,5.609923,59.63486197,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_June, July, August_Suaeda sp._mesohaline_dark_NA_NA"
16,20,4,808,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,10,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,autumn,NA,2012,2012-2013,NA,NA,"September, October",fall,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",6,11.219846,54.31622163,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_September, October_Suaeda sp._mesohaline_dark_NA_NA"
17,21,4,797,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,11,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,winter,NA,2012,2012-2013,NA,NA,"December, January, Febuary",winter,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",9,-1.24665,66.1354228,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_December, January, Febuary_Suaeda sp._mesohaline_dark_NA_NA"
18,22,4,804,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,12,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,spring,NA,2012,2012-2013,NA,NA,"March, April, May",spring,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",15,0.623325,64.36254205,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_March, April, May_Suaeda sp._mesohaline_dark_NA_NA"
19,23,4,805,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,13,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,autumn,NA,2012,2012-2013,NA,NA,"September, October",fall,Phragmites australis,NA,NA,mesotidal,oligohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",6,72.305677,48.82551144,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_September, October_Phragmites australis_oligohaline_dark_NA_NA"
20,24,4,794,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,14,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,winter,NA,2012,2012-2013,NA,NA,"December, January, Febuary",winter,Phragmites australis,NA,NA,mesotidal,oligohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",9,28.672941,90.19271551,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_December, January, Febuary_Phragmites australis_oligohaline_dark_NA_NA"
21,25,4,801,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,15,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,spring,NA,2012,2012-2013,NA,NA,"March, April, May",spring,Phragmites australis,NA,NA,mesotidal,oligohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",15,-0.623325,117.9678386,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_March, April, May_Phragmites australis_oligohaline_dark_NA_NA"
22,26,4,798,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,16,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,summer,NA,2012,2012-2013,NA,NA,"June, July, August",summer,Schoenoplectus triqueter,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",18,6.233248,59.04390172,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_June, July, August_Schoenoplectus triqueter_mesohaline_dark_NA_NA"
23,27,4,806,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,17,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,autumn,NA,2012,2012-2013,NA,NA,"September, October",fall,Schoenoplectus triqueter,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",6,100.355293,30.19106726,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_September, October_Schoenoplectus triqueter_mesohaline_dark_NA_NA"
24,28,4,795,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,18,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,winter,NA,2012,2012-2013,NA,NA,"December, January, Febuary",winter,Schoenoplectus triqueter,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",9,3.116624,61.99870201,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_December, January, Febuary_Schoenoplectus triqueter_mesohaline_dark_NA_NA"
25,29,4,802,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,19,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,spring,NA,2012,2012-2013,NA,NA,"March, April, May",spring,Schoenoplectus triqueter,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",15,0.623325,64.36254205,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2012_March, April, May_Schoenoplectus triqueter_mesohaline_dark_NA_NA"
26,30,4,815,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,20,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,summer,NA,2013,2013-2014,NA,NA,"June, July, August",summer,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",18,14.959795,50.77046109,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_June, July, August_Spartina alterniflora_mesohaline_dark_NA_NA"
27,31,4,823,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,21,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,autumn,NA,2013,2013-2014,NA,NA,"September, October",fall,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",6,8.726547,56.68006167,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_September, October_Spartina alterniflora_mesohaline_dark_NA_NA"
28,32,4,811,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,22,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,winter,NA,2013,2013-2014,NA,NA,"December, January, Febuary",winter,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",9,0,64.9535023,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_December, January, Febuary_Spartina alterniflora_mesohaline_dark_NA_NA"
29,33,4,819,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,23,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,spring,NA,2013,2013-2014,NA,NA,"March, April, May",spring,Spartina alterniflora,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",15,-1.869974,66.72638209,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_March, April, May_Spartina alterniflora_mesohaline_dark_NA_NA"
30,34,4,816,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,24,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,summer,NA,2013,2013-2014,NA,NA,"June, July, August",summer,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",18,1.869974,63.1806225,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_June, July, August_Suaeda sp._mesohaline_dark_NA_NA"
31,35,4,824,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,25,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,autumn,NA,2013,2013-2014,NA,NA,"September, October",fall,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",6,3.739949,61.40774176,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_September, October_Suaeda sp._mesohaline_dark_NA_NA"
32,36,4,812,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,26,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,winter,NA,2013,2013-2014,NA,NA,"December, January, Febuary",winter,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",9,18.699744,47.22470055,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_December, January, Febuary_Suaeda sp._mesohaline_dark_NA_NA"
33,37,4,820,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,27,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,spring,NA,2013,2013-2014,NA,NA,"March, April, May",spring,Suaeda sp.,NA,NA,mesotidal,mesohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",15,-2.493299,67.31734234,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_March, April, May_Suaeda sp._mesohaline_dark_NA_NA"
34,38,4,813,Cao et al.,2020,Spatial and temporal variations of the greenhouse gas emissions in coastal saline wetlands in southeastern China,28,33.614298,120.559789,subtropical/warm temperate,China,Jiangsu,Xinyang,Yancheng National Natural Reserve,NA,summer,NA,2013,2013-2014,NA,NA,"June, July, August",summer,Phragmites australis,NA,NA,mesotidal,oligohaline,"based on Zhang et al. 2015 and Zhou et al. 2015, the soluble total salt concentration is 2.00~8.00 g kg−1 (Liu et al., 2007)",18,107.211866,15.73174799,NA,mg/m2/h,dark,fig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Agilent,,Agilent,"4_Xinyang_Yancheng National Natural Reserve_2013_June, July, August_Phragmites australis_oligohaline_dark_NA_NA"
