,num,p_num,unique_id,author,publish_year,title,m_num,lat,long,climate_region,country,state_province,estuary,marsh,specific_site,time_frame,sampling_year,sampling_year_full,specific_date_condition,specific_time,month,season,plant_species,plant_comment,section,tide,salinity,salinity_loc,ch4_n,ch4_flux,ch4_var,ch4_var_type,ch4_units,ch4_chamber,ch4_loc,soil_temp,soil_source,soil_temp_var,pw_salinity,pw_salinity_var,pw_conductivity,pw_conductivity_var,cond_convert,salinity_conductivity,enviro_source,ch4_method,ch4_method_simple,method,brand,brand2,model,repeat_flag,group_key,yi,vi
11,140,10,13,Chen et al.,2021,"Effects of crabs on greenhouse gas emissions, soil nutrients, and stoichiometry in a subtropical estuarine wetland",8,26.030086,119.62901,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,mid-tidal flat,autumn,2015,2015,NA,NA,September,fall,Spartina alterniflora,NA,middle,macrotidal,oligohaline,salinity in paper,3,1.24665,6.233248,IQR,mg/m2/h,dark,fig,22.39,NA,NA,0.29,NA,NA,NA,NA,0.29,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,10_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2015_September_Spartina alterniflora_oligohaline_dark_mid-tidal flat_middle,1.045498573,3
12,143,11,339,Chmura et al.,2011,The greenhouse gas flux and potential global warming feedbacks of a northern macrotidal and microtidal salt marsh,1,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,month,2006,2006,NA,NA,August,summer,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,16,2.181637,4.799601,SD,ug/m2/h,dark,tab,16.4,NA,1.7,23,7,NA,NA,NA,23,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and infrared gas analyzer or gas chomatography,LI-COR,Shimadzu,"Licor-7000 CO2/H20, Shimadzu GC14 and GC8a",FALSE,11_Bay of Fundy_Dipper Harbour_2006_August_Spartina patens_polyhaline_dark_macrotidal marsh_high,1.52203544,16
13,144,11,340,Chmura et al.,2011,The greenhouse gas flux and potential global warming feedbacks of a northern macrotidal and microtidal salt marsh,2,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac ,microtidal marsh,month,2006,2006,NA,NA,August,summer,Spartina patens,NA,high,microtidal,polyhaline,salinity in paper,16,1.184317,3.615284,SD,ug/m2/h,dark,tab,14.3,NA,1.3,20,3,NA,NA,NA,20,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and infrared gas analyzer or gas chomatography,LI-COR,Shimadzu,"Licor-7000 CO2/H20, Shimadzu GC14 and GC8a",FALSE,11_Kouchibouguac Lagoon_Kouchibouguac _2006_August_Spartina patens_polyhaline_dark_microtidal marsh_high,1.005894273,16
14,145,12,481,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,1,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2011,2011,NA,NA,July,summer,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,2.9,7.13,SD,umol/m2/h,dark,tab,12.3,NA,0.5,21,9,NA,NA,NA,21,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC450,FALSE,12_Bay of Fundy_Dipper Harbour_2011_July_Spartina patens_polyhaline_dark_macrotidal marsh_high,1.7863402,4
15,146,12,480,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,2,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2011,2011,NA,NA,August,summer,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,-0.54,1.24,SD,umol/m2/h,dark,tab,14.7,NA,0.5,26,4,NA,NA,NA,26,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC450,FALSE,12_Bay of Fundy_Dipper Harbour_2011_August_Spartina patens_polyhaline_dark_macrotidal marsh_high,-0.516699824,4
16,147,12,484,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,3,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2011,2011,NA,NA,September,fall,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,1.93,5.46,SD,umol/m2/h,dark,tab,16.4,NA,1.1,24,4,NA,NA,NA,24,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC451,FALSE,12_Bay of Fundy_Dipper Harbour_2011_September_Spartina patens_polyhaline_dark_macrotidal marsh_high,1.411884987,4
17,148,12,483,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,4,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2011,2011,NA,NA,October,fall,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,0.57,1.2,SD,umol/m2/h,dark,tab,18.3,NA,0.5,24,5,NA,NA,NA,24,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC452,FALSE,12_Bay of Fundy_Dipper Harbour_2011_October_Spartina patens_polyhaline_dark_macrotidal marsh_high,0.542930505,4
18,149,12,482,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,5,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2011,2011,NA,NA,November,fall,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,0.9,3.19,SD,umol/m2/h,dark,tab,10.3,NA,1.3,21,5,NA,NA,NA,21,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC453,FALSE,12_Bay of Fundy_Dipper Harbour_2011_November_Spartina patens_polyhaline_dark_macrotidal marsh_high,0.808866936,4
19,150,12,486,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,6,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2012,2012,NA,NA,March,spring,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,1.2,1.68,SD,umol/m2/h,dark,tab,12.2,NA,4.2,23,4,NA,NA,NA,23,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC454,FALSE,12_Bay of Fundy_Dipper Harbour_2012_March_Spartina patens_polyhaline_dark_macrotidal marsh_high,1.015973134,4
20,151,12,485,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,7,45.1,-66.4,continental,Canada,New Brunswick,Bay of Fundy,Dipper Harbour,macrotidal marsh,day,2012,2012,NA,NA,"June, July",summer,Spartina patens,NA,high,macrotidal,polyhaline,salinity in paper,4,2.01,5.26,SD,umol/m2/h,dark,tab,20.1,NA,1.1,27,5,NA,NA,NA,27,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC455,FALSE,"12_Bay of Fundy_Dipper Harbour_2012_June, July_Spartina patens_polyhaline_dark_macrotidal marsh_high",1.448098688,4
21,152,12,489,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,8,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2011,2011,NA,NA,July,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,4,0.8,0.58,SD,umol/m2/h,dark,tab,20.6,NA,1,11,1,NA,NA,NA,11,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC456,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2011_July_Spartina patens_mesohaline_dark_microtidal marsh_high,0.732668256,4
22,153,12,488,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,9,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2011,2011,NA,NA,August,summer,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,4,0.02,0.49,SD,umol/m2/h,dark,tab,18.8,NA,0.1,7,4,NA,NA,NA,7,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC457,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2011_August_Spartina patens_mesohaline_dark_microtidal marsh_high,0.019998667,4
23,154,12,492,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,10,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2011,2011,NA,NA,September,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,4,-0.07,1.37,SD,umol/m2/h,dark,tab,22.8,NA,2.4,10,1,NA,NA,NA,10,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC458,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2011_September_Spartina patens_mesohaline_dark_microtidal marsh_high,-0.069942959,4
24,155,12,491,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,11,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2011,2011,NA,NA,October,fall,Spartina patens,NA,high,microtidal,polyhaline,salinity in paper,4,0.78,0.56,SD,umol/m2/h,dark,tab,6.7,NA,0.8,21,1,NA,NA,NA,21,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC459,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2011_October_Spartina patens_polyhaline_dark_microtidal marsh_high,0.716974594,4
25,156,12,490,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,12,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2011,2011,NA,NA,November,fall,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,4,0.15,3.5,SD,umol/m2/h,dark,tab,-2.6,NA,0.6,18,1,NA,NA,NA,18,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC460,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2011_November_Spartina patens_mesohaline_dark_microtidal marsh_high,0.14944312,4
26,158,12,495,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,14,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2012,2012,NA,NA,May,spring,Spartina patens,NA,high,microtidal,mesohaline,salinity in paper,4,-1.03,2.82,SD,umol/m2/h,dark,tab,12.2,NA,1.2,13,2,NA,NA,NA,13,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC462,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2012_May_Spartina patens_mesohaline_dark_microtidal marsh_high,-0.902428496,4
27,159,12,494,Chmura et al.,2016,Greenhouse Gas Fluxes from Salt Marshes Exposed to Chonic Nutrient Enrichment,14,46.133333,-64.15,continental,Canada,New Brunswick,Kouchibouguac Lagoon,Kouchibouguac,microtidal marsh,day,2012,2012,NA,NA,June,summer,Spartina patens,NA,high,microtidal,polyhaline,salinity in paper,4,0.32,1.97,SD,umol/m2/h,dark,tab,19,NA,1.2,16,3,NA,NA,NA,16,tab,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Varian,,Varian GC463,FALSE,12_Kouchibouguac Lagoon_Kouchibouguac_2012_June_Spartina patens_polyhaline_dark_microtidal marsh_high,0.31477598,4
28,327,18,591,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,7,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, spring",NA,May,spring,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,-6.85,1.96,SE,umol/m2/h,light,supp fig,13.87,NA,0,26.67,3.17,NA,NA,NA,26.67,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_May_Spartina patens_polyhaline_light_Sandy_high,-2.622681684,3
29,328,18,590,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,8,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, neap",NA,June,summer,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,-1.4,3.23,SE,umol/m2/h,light,supp fig,18.55,NA,0,26.67,4.92,NA,NA,NA,26.67,"fig, supp fig",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_June_Spartina patens_polyhaline_light_Sandy_high,-1.137982046,3
30,330,18,589,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,10,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, neap",NA,July,summer,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,-7.19,4,SE,umol/m2/h,light,supp fig,20.81,NA,0,21.9,3.81,NA,NA,NA,21.9,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_July_Spartina patens_polyhaline_light_Sandy_high,-2.6706396,3
31,331,18,589,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,11,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, spring",NA,July,summer,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,0.72,1.44,SE,umol/m2/h,light,supp fig,21.61,NA,0,25.56,0.95,NA,NA,NA,25.56,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_July_Spartina patens_polyhaline_light_Sandy_high,0.668974227,3
32,332,18,588,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,12,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, neap",NA,August,summer,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,-7.45,4,SE,umol/m2/h,light,supp fig,22.58,NA,0,27.3,0,NA,NA,NA,27.3,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_August_Spartina patens_polyhaline_light_Sandy_high,-2.705835383,3
33,333,18,588,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,13,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, spring",NA,August,summer,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,-3.45,1.36,SE,umol/m2/h,light,supp fig,20.81,NA,0,29.05,4.76,NA,NA,NA,29.05,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_August_Spartina patens_polyhaline_light_Sandy_high,-1.951892932,3
34,334,18,596,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,14,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, spring",NA,September,fall,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,-2.09,1.28,SE,umol/m2/h,light,supp fig,19.03,NA,0,32.38,0.48,NA,NA,NA,32.38,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_September_Spartina patens_polyhaline_light_Sandy_high,-1.483175137,3
35,335,18,596,Emery et al.,2018,Salt Marsh Greenhouse Gas Fluxes and Microbial Communities Are Not Sensitive to the First Year of Precipitation Change,15,42.0387,-70.2048,continental,USA,Massachusetts,Cape Cod Bay,West End Marsh,Sandy,day,2014,2014,"month, neap",NA,September,fall,Spartina patens,NA,high,mesotidal,polyhaline,salinity in paper,3,0.38,2.3,SE,umol/m2/h,light,supp fig,19.68,NA,0,31.75,2.86,NA,NA,NA,31.75,supp fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,LI-COR,"Shimadzu GC-2014, FIID for ch4 and co2, ecd for n2o, Li‐Cor 6400‐09 for reco",FALSE,18_Cape Cod Bay_West End Marsh_2014_September_Spartina patens_polyhaline_light_Sandy_high,0.371402391,3
